"código","nome","numero de vendas","valor vendido","ABC","ABC %"
"24,1","20X7 BRANCA","645.0","15032,93","A","15,16"
"9,1","30X7 BRANCA","293.0","9352,51","A","9,43"
"54","BATISMO DOURADA","3610.0","7654,3","A","7,72"
"107","CRISMA DOURADA","3359.0","6731,69","A","6,79"
"14,1","CIRIO 40X2,7 BRANCA","832.0","6199,27","A","6,25"
"32","PRIMEIRA COMUNHAO DOURADA","2916.0","5231,8","A","5,27"
"42,1","15X7 BRANCA","308.0","4908,53","A","4,95"
"8,1","5X5 BRANCA","1314.0","4560,37","A","4,6"
"10,1","15X5 VOTIVA BRANCA","432.0","3613,96","A","3,64"
"48,1","25X7 BRANCA","128.0","3602,3","A","3,63"
"82,1","7X5 BRANCA","780.0","3579,34","A","3,61"
"70,1","PALITO C/100 BRANCA","61.0","3147,34","A","3,17"
"24,3","20X7 ROXA","95.0","2092,53","A","2,11"
"24,6","20X7 VERDE","61.0","1382,86","A","1,39"
"24,5","20X7 ROSA","60.0","1360,8","A","1,37"
"9,2","30X7 AMARELA","31.0","1237,21","B","1,25"
"49,1","3X5 BRANCA","490.0","1231,14","B","1,24"
"160,1","40X7 BRANCA","30.0","1172,39","B","1,18"
"17","LIBRA C/10","26.0","1107,11","B","1,12"
"48,3","25X7 ROXA","39.0","1032,98","B","1,04"
"163,1","CIRIO 35X2,7 BRANCA","144.0","900,58","B","0,91"
"10,5","15X5 VOTIVA ROXA","100.0","814,0","B","0,82"
"9,3","30X7 ROXA","24.0","798,24","B","0,8"
"29,1","CIRIO 30X2,7 BRANCA","150.0","797,96","B","0,8"
"24,2","20X7 AMARELA","36.0","762,24","B","0,77"
"14,2","CIRIO 40X2,7 AMARELA","96.0","672,0","B","0,68"
"82,3","7X5 ROXA","140.0","621,86","B","0,63"
"82,5","7X5 ROSA","140.0","621,86","B","0,63"
"165,1","CIRIO 20X2,7 BRANCA","145.0","537,66","B","0,54"
"82,6","7X5 VERDE","120.0","534,66","B","0,54"
"24,4","20X7 VERMELHA","20.0","495,17","B","0,5"
"210,1","10X5 BRANCA","72.0","457,5","B","0,46"
"166,1","CIRIO 10X2,7 BRANCA","149.0","456,21","B","0,46"
"48,6","25X7 VERDE","17.0","433,97","B","0,44"
"158,1","35X7 BRANCA","11.0","410,35","B","0,41"
"9,6","30X7 VERDE","12.0","399,12","B","0,4"
"9,5","30X7 ROSA","12.0","399,12","C","0,4"
"48,5","25X7 ROSA","15.0","379,5","C","0,38"
"21,1","10X7 BRANCA","29.0","360,72","C","0,36"
"10,11","15X5 VOTIVA VERDE","40.0","325,6","C","0,33"
"10,9","15X5 VOTIVA ROSA","40.0","325,6","C","0,33"
"216,1","40x3,5 BRANCA","16.0","283,34","C","0,29"
"42,3","15X7 ROXA","15.0","256,12","C","0,26"
"210,6","10X5 ROSA","40.0","231,6","C","0,23"
"210,3","10X5 ROXA","40.0","231,6","C","0,23"
"210,5","10X5 VERDE","40.0","231,6","C","0,23"
"81,1","RECHAUD  ","177.0","215,91","C","0,22"
"167,1","CIRIO 15X2,7 BRANCA","61.0","195,93","C","0,2"
"42,4","15X7 VERMELHA","10.0","167,81","C","0,17"
"10,7","15X5 VOTIVA VERMELHA","20.0","162,8","C","0,16"
"160,2","40X7 AMARELA","2.0","157,32","C","0,16"
"48,4","25X7 VERMELHA","5.0","136,15","C","0,14"
"176,1","2X7 FLUTUANTE BRANCA","33.0","104,31","C","0,11"
"42,5","15X7 ROSA","5.0","88,31","C","0,09"
"64,1","2X8 FLUTUANTE BRANCA","14.0","85,45","C","0,09"
"59,1","FLOR P BRANCA","22.0","76,41","C","0,08"
"166,4","CIRIO 10X2,7 VERMELHA","20.0","68,4","C","0,07"
"42,6","15X7 VERDE","4.0","67,12","C","0,07"
"166,3","CIRIO 10X2,7 ROXA","24.0","53,28","C","0,05"
"116,4","15X5 DEVOCIONAL SANTA LUZIA","5.0","51,91","C","0,05"
"116,2","15X5 DEVOCIONAL SAGRADA FAMÍLIA","5.0","51,91","C","0,05"
"116,1","15X5 DEVOCIONAL SÃO MIGUEL","5.0","51,91","C","0,05"
"116,5","15X5 DEVOCIONAL N SRA DO CARMO","5.0","51,91","C","0,05"
"116,3","15X5 DEVOCIONAL N SENHORA APARECIDA","5.0","51,91","C","0,05"
"196,5","MINI AROMÁTICA CRAVO","5.0","51,61","C","0,05"
"196,4","MINI AROMÁTICA BAMBU","5.0","51,61","C","0,05"
"196,6","MINI AROMÁTICA ERVA CIDREIRA","5.0","51,61","C","0,05"
"82,4","7X5 VERMELHA","10.0","49,33","C","0,05"
"166,5","CIRIO 10X2,7 ROSA","16.0","35,52","C","0,04"
"59,4","FLOR P VERMELHA","10.0","34,42","C","0,03"
"21,4","10X7 VERMELHA","2.0","28,8","C","0,03"
"21,5","10X7 VERDE","1.0","18,37","C","0,02"
"21,3","10X7 ROXA","1.0","18,37","C","0,02"
"10,3","15X5 VOTIVA AMARELA","1.0","12,17","C","0,01"
"10,12","15X5 7 DIAS VERDE","1.0","12,17","C","0,01"
"199,1","NUMERO 6 C/8 BRANCA","1.0","9,59","C","0,01"
"","Total vendido","","","","99181,86"
